Status,Date,Title,Price,Price_units,Amount,Amount_units,Waste_type
Открыто,2021-10-21,Литник ПП,50.0,₽/кг.,5000.0,кг.,Пластик
Открыто,2021-10-21,ПЭТ лента,4000.0,₽/т.,11.0,т.,Пластик
Открыто,2021-10-20,Гранула пнд,100.0,₽/кг.,100.0,т.,Пластик
Открыто,2021-10-20,Продам ПНД ,48.0,₽/кг.,2500.0,кг.,Пластик
Открыто,2021-10-20,Продам ПВД микс цветная ,38.0,₽/кг.,1000.0,кг.,Пластик
Открыто,2021-10-20,Продам Стрейч ,40.0,₽/кг.,1300.0,кг.,Пластик
Открыто,2021-10-20,Продам гранулу полиуретан,1.0,₽/кг.,20000.0,кг.,Пластик
Открыто,2021-10-20,Продам пвх,50.0,₽/кг.,3.0,т.,Пластик
Открыто,2021-10-20,Продается пенообразователь ПО-6РП,1000.0,₽/т.,100.0,т.,Остальное
Открыто,2021-10-20,Продам ячейку ,12.0,₽/кг.,6000.0,кг.,Макулатура
Открыто,2021-10-20,Продам поддоны ,300.0,₽/шт.,250.0,шт.,Дерево
Открыто,2021-10-20,Биг-беги ,20000.0,₽/т.,2000.0,кг.,Пластик
Открыто,2021-10-20,11В,11000.0,₽/т.,20000.0,кг.,Макулатура
Открыто,2021-10-20,Гранула первичная ПНД,140.0,₽/кг.,1.0,кг.,Пластик
Открыто,2021-10-20,Реализуем Теплоноситель Arteco Hot Stream 35,100.0,₽/кг.,1537.0,кг.,Остальное
Открыто,2021-10-20,Вагонный вкладыш светлый,35.0,₽/кг.,5.0,т.,Пластик
Открыто,2021-10-19,Гранула ПВД,110.0,₽/т.,500.0,кг.,Пластик
Открыто,2021-10-19,Продам ПВХ муку из оконного профиля,85.0,₽/кг.,80000.0,кг.,Пластик
Открыто,2021-10-19,Продам ПП труба,10.0,₽/кг.,1000.0,кг.,Пластик
Открыто,2021-10-19,Продам трубу капельного орошения ,40.0,₽/кг.,30.0,т.,Пластик
Открыто,2021-10-22,Реализуем Пеногаситель Kurita FC-8990,350000.0,₽/т.,3.0,т.,Остальное
Открыто,2021-10-22,Реализуем Масло-растворитель Изолюкс-1М ТУ 19.20.2***-2016,50000.0,₽/т.,2.0,т.,Остальное
Открыто,2021-10-22,Реализуем металлолом,25000.0,₽/т.,40.0,т.,Металлы
Открыто,2021-10-22,Лом стальной (тара из черных металлов),10065.6,₽/т.,100.0,т.,Металлы
Открыто,2021-10-22,Продаём тонкий картон 6Б типографский,17000.0,₽/т.,20.0,т.,Макулатура
Открыто,2021-10-22,ПНД гранула высокого качества,110.0,₽/кг.,20.0,т.,Пластик
Открыто,2021-10-22,Дробленый пнд литьевой ,64.0,₽/кг.,7.0,т.,Пластик
Открыто,2021-10-22,Продается оконный ПВХ ,75.0,₽/кг.,25.0,т.,Пластик
Открыто,2021-10-22,Сумки,12.0,₽/кг.,20.0,т.,Пластик
Открыто,2021-10-22,ПЭТ городской сбор(микс),40.0,₽/кг.,20.0,т.,Пластик
Открыто,2021-10-21,ПВД мешки,50.0,₽/кг.,1500.0,кг.,Пластик
Открыто,2021-10-21,Пластик микс ,10.0,₽/т.,16.0,т.,Пластик
Открыто,2021-10-21,Продам агломерат ПВД,1.0,₽/кг.,10000.0,кг.,Пластик
Открыто,2021-10-21,Отходы ПП на переработку,15.0,₽/кг.,200.0,т.,Пластик
Открыто,2021-10-21,Бумага микс,8.0,₽/кг.,250.0,т.,Макулатура
Открыто,2021-10-21,Гранула пнд,100.0,₽/кг.,30000.0,кг.,Пластик
Открыто,2021-10-21,Мешки пп фура,20.0,₽/т.,20.0,т.,Пластик
Открыто,2021-10-21,"Пленка ПВД, Срейч ",27.0,₽/кг.,20.0,т.,Пластик
Открыто,2021-10-21,Гранула пнд,85.0,₽/кг.,5.0,т.,Пластик
Открыто,2021-10-21,Трубки из стекла марки 93-1,300.0,₽/кг.,15.0,т.,Стекло
Открыто,2021-10-13,Продаю гранулу АБС и ПС,100.0,₽/кг.,10.0,т.,Пластик
Открыто,2021-10-13,Вторичная гранула САН,140.0,₽/кг.,14.0,т.,Пластик
Открыто,2021-10-13,Отходы из ПВХ,25.0,₽/кг.,5.0,т.,Пластик
Открыто,2021-10-13,Продам Стрейч Пленку ,47.0,₽/кг.,5000.0,кг.,Пластик
Открыто,2021-10-13,Продаю отходы пвх,60.0,₽/кг.,3.0,т.,Пластик
Открыто,2021-10-13,"ПВХ Смёт, летники",60.0,₽/кг.,15.0,т.,Пластик
Открыто,2021-10-13,Продаю катушки от сварочной проволоки,20.0,₽/т.,2.0,т.,Пластик
Открыто,2021-10-13,Продам обрезки ленты пп ,30.0,₽/кг.,3000.0,кг.,Пластик
Открыто,2021-10-13,"ПНД-гранула с ПТР 1,5 - 3",95.0,₽/кг.,20.0,т.,Пластик
Открыто,2021-10-12,Продам картон ,18.0,₽/кг.,5000.0,кг.,Макулатура
Открыто,2021-10-12,Плёнка ПВХ ,40.0,₽/кг.,10.0,т.,Пластик
Открыто,2021-10-12,Бампера автомобильные,20.0,₽/кг.,5.0,т.,Пластик
Открыто,2021-10-12,Дробление и шредирование ,1.0,₽/шт.,1.0,шт.,Пластик
